tract_id,accessibility_score
34001001200,0.0787060909
34001001300,1.0461331501
34001002400,0.4547852503
34001010401,0.3578094827
34001010900,0.0932988555
34001011702,0.0861750338
34001011807,0.4556629544
34001012100,0.253369407
34001013500,0.2489525193
34005701205,0.0403792064
34005704700,0.0561087894
34007600200,0.4801812468
34007600400,0.0811850913
34007600800,0.0793944075
34007601400,0.0801898865
34007601600,0.0816677499
34007601800,0.3294193576
34007601900,0.1651977951
34007603201,0.1560939152
34007603301,0.0778037456
34007605200,0.2520393093
34007610400,0.2400326101
34011010600,0.064307703
34011020100,0.2073736532
34011020302,0.0695080855
34011020503,0.0692263506
34011020600,0.136025132
34011030401,0.2973062049
34011040300,0.6520785277
34011040400,0.0725289087
34011040602,0.0750006559
34011040702,0.2869887727
34011041101,0.074930354
34011041102,0.3012395215
34013006200,0.0717986145
34013006700,0.0720755703
34013006800,0.0724583834
34013007700,0.0731994311
34013007900,0.0729512065
34013008000,0.1454317472
34013008100,0.1448497752
34013009600,0.0721700392
34013010700,0.0688590752
34013011200,0.0678934958
34013980200,0.0727218145
34015500601,0.0565514728
34015501002,0.2408791366
34015501402,0.1280135345
34017002001,0.0700667225
34017006400,0.0618662054
34017006800,0.0707758552
34021000900,0.181790525
34021001000,0.0607623113
34021001500,0.0604775698
34021002100,0.1814943672
34021003400,0.0592256233
34023000603,0.065642351
34023000702,0.0661025076
34023009300,0.0600383152
34025800900,0.1878577013
34025801400,0.1970932163
34025801500,0.1623931635
34025802000,0.0330340171
34025803500,0.2061327399
34025803900,0.278976119
34025804200,0.4682656109
34025806000,0.1075211243
34025807600,0.1978385839
34025808402,0.0487520358
34025808600,0.0497712959
34025808701,0.1496083304
34025809200,0.132747687
34025811000,0.1400387257
34025811102,0.2365528919
34025811200,0.1493138878
34025812200,0.2276649647
34025812600,0.1636860769
34027045000,0.0990136354
34029711200,0.2224236219
34029713000,0.2282957849
34029715600,0.2711634535
34029715800,0.0447987597
34029717200,0.1099018161
34029723000,0.0332111837
34029723100,0.1876359151
34029735001,0.0603996344
34029735003,0.0614274174
34029735101,0.0567925263
34029736002,0.0606531707
34033020600,0.0621383193
34033021900,0.2900056176
34033022100,0.0965322685
34035050200,0.1164010006
34035053102,0.0653663595
34037373800,0.046809811
